book,문단식별자,문장식별자,원문,번역문,marker_raw,marker_normalized,dansa_category,llm_judgment,marker_type,analysis_level
당송팔대가문초소식3,104,390,增之去 善矣라,1eb33b6364a200fa,라,라,游辭以斷,False,라(대조군),L1
당송팔대가문초구양수5,323,2182,然人亦莫能加也라,65aed123cfdefd0f,라,라,游辭以斷,False,라(대조군),L1
당송팔대가문초한유3,63,367,通篇述書라,b3ff2a5fbc6e1a3b,라,라,游辭以斷,False,라(대조군),L1
서경집전(하),625,2399,天惟純佑命이라,3511199ccc3a988e,이라,라,游辭以斷,True,라(대조군),L1
춘추좌씨전7,15,70,嗚呼라,24e5a6656c0e001e,라,라,游辭以斷,True,라(대조군),L1
예기집설대전1,163,575,蓋自幼稚而已知禮讓矣라.,027b9c517a98ae57,라,라,游辭以斷,False,라(대조군),L1
당송팔대가문초구양수3,472,1982,始卒一躬이라,4aba4963d3e62d9d,이라,라,游辭以斷,True,라(대조군),L1
당송팔대가문초소식2,500,2147,嗚呼라,24e5a6656c0e001e,라,라,游辭以斷,True,라(대조군),L1
당송팔대가문초유종원2,305,1899,守以廉潔이라,769ac137c08e6d46,이라,라,游辭以斷,True,라(대조군),L1
당송팔대가문초소식4,265,1036,聖人知其然이라,f4fecaa035411d72,이라,라,游辭以斷,False,라(대조군),L1
시경집전(상),74,252,比也라,920e5bbdbbf3601f,라,라,游辭以斷,False,라(대조군),L1
서경집전(상),614,3189,耿地潟鹵墊隘而有沃饒之利라,017e13d07fdf4e50,라,라,游辭以斷,False,라(대조군),L1
