book,문단식별자,문장식별자,원문,번역문,marker,llm_judgment,marker_type,analysis_level
춘추좌씨전5,312,1616,善亦如之하야 德遠而後興하나니라,c9632d9ef766c1ba,니라,True,니라,Level2
당송팔대가문초소식5,13,42,孔子聞之하시고 謂子産仁人이라하시니라,94aa7eda36f3ec35,니라,True,니라,Level2
주역전의(상),127,639,若他書則眞是實이니 孝悌는 便是孝悌요 仁은 便是仁이어니와 易中엔 多有不可曉處니라,fcd03796a6feb3ff,니라,True,니라,Level2
당송팔대가문초한유3,180,1034,高固奇士로 自方阿衡太師나 世莫能用吾言이요 再試吏나 再怒하야 發狂投江水하니라,681be03b00400d39,니라,True,니라,Level2
당송팔대가문초소식2,536,2286,使隱而果攝이면 則春秋에 不書爲公이니 春秋에 書爲公이면 則隱公非攝이 無疑也라하니라,9d44997fdfccfc1d,니라,True,니라,Level2
당송팔대가문초소철3,253,1383,船行至新하니 會有蠻隷竊其槖裝以逃라가 獲於新州하고 谷從之至新이라가 遂病死니라,5d942b3dbeca6d47,니라,True,니라,Level2
시경집전(하),1074,2351,故로 君子思古之武王焉하니라,583d43b0eb7430fa,니라,True,니라,Level2
당송팔대가문초소식1,369,1709,覽此而不爲嗚咽流涕者는 非人情也니라,35e7ccd237295f42,니라,True,니라,Level2
시경집전(하),281,626,又曰 非我戕汝라 乃下供上役之常禮耳라하니라,6bdf023fb70efb65,니라,True,니라,Level2
맹자집주,2159,6664,故로 恐其亂德이니라,45e4a2e2f382c0a8,니라,True,니라,Level2
당송팔대가문초유종원2,255,1483,麋至死不悟하니라,da1feebbfa624d7a,니라,True,니라,Level2
당송팔대가문초소순1,321,2016,有機也면 雖惡이라도 亦或濟하고 無機也면 雖善이라도 亦不克하니라,61b3d4bf8b593c79,니라,True,니라,Level2
주역전의(하),1390,4216,隨風이 巽이니 君子以하여 申命行事하나니라,5f7352ada6e8054a,니라,True,니라,Level2
당송팔대가문초소철2,138,793,故로 開元元和之初에 其治庶幾於貞觀이니라,2d940eb58722ce1b,니라,True,니라,Level2
자치통감강목5,83,187,復爲長信少府라가 遷太子太傅러니 年九十에 卒하니 太后素服五日하여 以報師傅之恩하니라,9ab04882c4988bf7,니라,True,니라,Level2
주역전의(하),162,466,大壯은 利貞하니라,c722c487132a2a16,니라,True,니라,Level2
맹자집주,161,630,包含徧覆하여 無不周徧은 保天下之氣象也요 制節謹度하여 不敢縱逸은 保一國之規模也니라,3954368a8c8f7bae,니라,True,니라,Level2
맹자집주,629,2184,故로 引之也시니라,cf4a95bbe3294552,니라,True,니라,Level2
